TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Hibernian,Hibernian FC,Easter Road,55.9595,-3.1657
Kilmarnock,Kilmarnock FC,Rugby Park,55.6028,-4.5086
Falkirk,Falkirk FC,Falkirk Stadium,56.0045,-3.7529
Hamilton,Hamilton Academical FC,New Douglas Park,55.7799,-4.0534
Arbroath,Arbroath FC,Gayfield Park,56.5564,-2.5807
Inverness C,Inverness Caledonian Thistle FC,Caledonian Stadium,57.4919,-4.2057
Morton,Greenock Morton FC,Cappielow Park,55.9409,-4.7278
Dunfermline,Dunfermline Athletic FC,East End Park,56.0714,-3.4425
Partick,Partick Thistle FC,Firhill Stadium,55.8813,-4.2711
Queen of Sth,Queen of the South FC,Palmerston Park,55.0707,-3.6042
Raith Rvs,Raith Rovers FC,Stark's Park,56.1128,-3.1669
Ayr,Ayr United FC,Somerset Park,55.4582,-4.6295
Cove Rangers,Cove Rangers FC,Balmoral Stadium,57.1053,-2.1049
Queens Park,Queen's Park FC,Hampden Park,55.8258,-4.252
Airdrie Utd,Airdrieonians FC,Excelsior Stadium,55.8667,-3.9574
Alloa,Alloa Athletic FC,Recreation Park,56.1203,-3.7911
Montrose,Montrose FC,Links Park,56.7142,-2.4609
Clyde,Clyde FC,New Douglas Park (temporary),55.7799,-4.0534
Dumbarton,Dumbarton FC,The Rock Stadium,55.9402,-4.5634
East Fife,East Fife FC,Bayview Stadium,56.2096,-2.9567
