TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Leganes,CD Leganés,Estadio Municipal de Butarque,40.3401,-3.7608
Oviedo,Real Oviedo,Estadio Carlos Tartiere,43.3644,-5.8656
Eibar,SD Eibar,Estadio Municipal de Ipurua,43.1843,-2.4757
Huesca,SD Huesca,Estadio El Alcoraz,42.1318,-0.4244
Zaragoza,Real Zaragoza,Estadio La Romareda,41.636,-0.901
Ibiza,UD Ibiza,Estadio Can Misses,38.9184,1.4264
Sociedad B,Real Sociedad B,Estadio Zubieta XXI,43.2734,-1.9986
Amorebieta,SD Amorebieta,Urritxe,43.2202,-2.7341
Ponferradina,SD Ponferradina,Estadio El Toralín,42.5465,-6.6045
Alcorcon,AD Alcorcón,Estadio Santo Domingo,40.3512,-3.8332
Sp Gijon,Real Sporting de Gijón,El Molinón,43.535,-5.637
Burgos,Burgos CF,Estadio El Plantío,42.35,-3.697
Lugo,CD Lugo,Estadio Anxo Carro,43.0003,-7.583
Fuenlabrada,CF Fuenlabrada,Estadio Fernando Torres,40.2907,-3.8084
Tenerife,CD Tenerife,Estadio Heliodoro Rodríguez López,28.4696,-16.2546
Malaga,Málaga CF,Estadio La Rosaleda,36.7353,-4.4261
Mirandes,CD Mirandés,Estadio Municipal de Anduva,42.6894,-2.9416
Cartagena,FC Cartagena,Estadio Municipal Cartagonova,37.6157,-0.9966
Santander,Racing Santander,Campos de Sport de El Sardinero,43.4831,-3.7941
Villarreal B,Villarreal CF B,Estadio de la Cerámica (secondary),39.9444,-0.1034
